,tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,expanded_urls,name,favorite_count,retweet_count,jpg_url,ratings_num,ratings_den,stage,breed,confidence,dog_type,rating
0,8.924206435553362e+17,,,2017-08-01 16:23:56+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,Phineas,35203.0,7428.0,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,13.0,13.0,None,,,,
1,8.921774213063434e+17,,,2017-08-01 00:17:27+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,Tilly,30473.0,5524.0,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,13.0,13.0,None,Chihuahua,0.323581,,
2,8.918151813780849e+17,,,2017-07-31 00:18:03+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,Archie,22918.0,3647.0,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,12.0,12.0,None,Chihuahua,0.716012,,
3,8.916895572798587e+17,,,2017-07-30 15:58:51+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,Darla,38497.0,7605.0,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,13.0,13.0,None,Labrador_retriever,0.168086,,
4,8.913275589266883e+17,,,2017-07-29 16:00:24+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",Franklin,36761.0,8188.0,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,12.0,12.0,None,basset,0.555712,,
5,,,,,,,,,,,,,,,,,,
6,8.909719131739914e+17,,,2017-07-28 16:27:12+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",Jax,10779.0,1779.0,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,13.0,13.0,None,Appenzeller,0.34170300000000003,,
7,,,,,,,,,,,,,,,,,,
8,8.906091851503124e+17,,,2017-07-27 16:25:51+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,Zoey,25515.0,3795.0,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,13.0,13.0,None,Irish_terrier,0.487574,,
9,8.902402553491988e+17,,,2017-07-26 15:59:51+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,Cassie,29104.0,6433.0,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,14.0,14.0,doggo,Pembroke,0.511319,,
